origin_prefecture_code,origin_prefecture_name,destination_prefecture_code,destination_prefecture_name,virtual_load,standard_deviation
26,京都府,26,京都府,26964.52939,8089.358817
26,京都府,27,大阪府,93701.73963,51140.43965
26,京都府,28,兵庫県,57107.02117,33770.90209
26,京都府,29,奈良県,13749.76995,9933.293326
26,京都府,30,和歌山県,9416.184866,7130.71835
26,京都府,31,鳥取県,5681.81155,4566.94699
26,京都府,32,島根県,6869.534868,5401.583434
26,京都府,33,岡山県,19592.08465,13515.36175
26,京都府,34,広島県,29040.37015,18981.0815
26,京都府,35,山口県,13706.96911,9906.306287
26,京都府,36,徳島県,7329.643902,5719.630538
26,京都府,37,香川県,9812.092639,7393.333339
26,京都府,38,愛媛県,13653.46806,9872.555183
26,京都府,39,高知県,7019.337809,5505.436202
26,京都府,40,福岡県,54485.4697,32456.30766
26,京都府,41,佐賀県,8431.765539,6470.939807
26,京都府,42,長崎県,13396.66301,9710.279913
26,京都府,43,熊本県,18158.2565,12653.28608
26,京都府,44,大分県,11609.72793,8568.054432
26,京都府,45,宮崎県,11053.31701,8207.390268
26,京都府,46,鹿児島県,16392.72184,11577.35084
27,大阪府,24,三重県,54205.96027,32315.4704
27,大阪府,25,滋賀県,44416.57294,27293.77847
27,大阪府,26,京都府,79835.78018,44749.58913
27,大阪府,27,大阪府,277429.3361,83228.80084
27,大阪府,28,兵庫県,169080.7773,83093.90502
27,大阪府,29,奈良県,40709.91172,25342.60345
27,大阪府,30,和歌山県,27879.16133,18326.82783
27,大阪府,31,鳥取県,16822.5394,11840.82993
27,大阪府,32,島根県,20339.11543,13960.63237
27,大阪府,33,岡山県,58007.66409,34219.95241
27,大阪府,34,広島県,85981.86802,47607.60536
27,大阪府,35,山口県,40583.18826,25275.36281
27,大阪府,36,徳島県,21701.39263,14766.18266
27,大阪府,37,香川県,29051.35334,18987.24903
27,大阪府,38,愛媛県,40424.78393,25191.26077
27,大阪府,39,高知県,20782.64754,14223.80033
27,大阪府,40,福岡県,161318.9654,79977.22686
27,大阪府,41,佐賀県,24964.52174,16664.59603
27,大阪府,42,長崎県,39664.44317,24786.77164
27,大阪府,43,熊本県,53762.42816,32091.71398
27,大阪府,44,大分県,34373.73869,21933.53364
27,大阪府,45,宮崎県,32726.3337,21030.29302
27,大阪府,46,鹿児島県,48535.08541,29428.41526
28,兵庫県,24,三重県,52158.41899,31279.67915
28,兵庫県,25,滋賀県,42738.80972,26414.28611
28,兵庫県,26,京都府,76820.11447,43331.53145
28,兵庫県,27,大阪府,266949.8978,119969.0967
28,兵庫県,28,兵庫県,162694.0281,48808.20844
28,兵庫県,29,奈良県,39172.16155,24524.17174
28,兵庫県,30,和歌山県,26826.07172,17729.64549
28,兵庫県,31,鳥取県,16187.09555,11450.93627
28,兵庫県,32,島根県,19570.83869,13502.66013
28,兵庫県,33,岡山県,55816.51968,33125.18841
28,兵庫県,34,広島県,82734.04392,46102.5524
28,兵庫県,35,山口県,39050.22486,24459.0388
28,兵庫県,36,徳島県,20881.6581,14282.42821
28,兵庫県,37,香川県,27953.9861,18369.1182
28,兵庫県,38,愛媛県,38897.80399,24377.57333
28,兵庫県,39,高知県,19997.6171,13757.40005
28,兵庫県,40,福岡県,155225.4059,77506.40619
28,兵庫県,41,佐賀県,24021.52786,16120.26122
28,兵庫県,42,長崎県,38166.18386,23985.76993
28,兵庫県,43,熊本県,51731.64058,31062.86207
28,兵庫県,44,大分県,33075.32706,21222.26405
28,兵庫県,45,宮崎県,31490.1501,20347.52329
28,兵庫県,46,鹿児島県,46701.75213,28482.33692
29,奈良県,24,三重県,5790.700808,4644.351595
29,奈良県,25,滋賀県,4744.922579,3892.595578
29,奈良県,26,京都府,8528.676819,6536.342311
29,奈良県,27,大阪府,29637.15195,19315.64922
29,奈良県,28,兵庫県,18062.51912,12595.36249
29,奈良県,29,奈良県,4348.948299,1304.68449
29,奈良県,30,和歌山県,2978.268096,2570.965793
29,奈良県,31,鳥取県,1797.114044,1634.910718
29,奈良県,32,島根県,2172.781951,1938.705207
29,奈良県,33,岡山県,6196.828276,4931.41476
29,奈良県,34,広島県,9185.249558,6976.829901
29,奈良県,35,山口県,4335.410716,3592.664373
29,奈良県,36,徳島県,2318.310961,2054.72117
29,奈良県,37,香川県,3103.490731,2667.297359
29,奈良県,38,愛媛県,4318.488738,3580.196123
29,奈良県,39,高知県,2220.163489,1976.57354
29,奈良県,40,福岡県,17233.34221,12091.70768
29,奈良県,41,佐賀県,2666.903704,2329.291054
29,奈良県,42,長崎県,4237.263245,3520.263132
29,奈良県,43,熊本県,5743.319271,4610.693509
29,奈良県,44,大分県,3672.069186,3099.098607
29,奈良県,45,宮崎県,3496.080617,2966.375734
29,奈良県,46,鹿児島県,5184.894003,4211.213297
30,和歌山県,24,三重県,8447.915123,6481.845763
30,和歌山県,25,滋賀県,6922.254239,5438.165758
30,和歌山県,26,京都府,12442.28294,9103.163482
30,和歌山県,27,大阪府,43236.93322,26676.02735
30,和歌山県,28,兵庫県,26350.9778,17458.99397
30,和歌山県,29,奈良県,6344.576816,5035.231292
30,和歌山県,30,和歌山県,4344.924201,1303.47726
30,和歌山県,31,鳥取県,2621.766762,2293.987692
30,和歌山県,32,島根県,3169.819701,2718.133411
30,和歌山県,33,岡山県,9040.404787,6880.037729
30,和歌山県,34,広島県,13400.14123,9712.480808
30,和歌山県,35,山口県,6324.827161,5021.372562
30,和歌山県,36,徳島県,3382.128498,2880.005511
30,和歌山県,37,香川県,4527.608514,3733.8562
30,和歌山県,38,愛媛県,6300.140092,5004.041165
30,和歌山県,39,高知県,3238.943495,2770.97556
30,和歌山県,40,福岡県,25141.3114,16766.27749
30,和歌山県,41,佐賀県,3890.682126,3262.889325
30,和歌山県,42,長崎県,6181.642159,4920.725882
30,和歌山県,43,熊本県,8378.791329,6435.145841
30,和歌山県,44,大分県,5357.094044,4334.964048
30,和歌山県,45,宮崎県,5100.348523,4150.263458
30,和歌山県,46,鹿児島県,7564.118041,5880.675441
31,鳥取県,24,三重県,2722.310552,2372.530886
31,鳥取県,25,滋賀県,2230.671767,1984.959298
31,鳥取県,26,京都府,4009.481351,3351.418482
31,鳥取県,27,大阪府,13932.94769,10048.65355
31,鳥取県,28,兵庫県,8491.508718,6511.270725
31,鳥取県,29,奈良県,2044.517276,1835.709979
31,鳥取県,30,和歌山県,1400.136345,1305.934313
31,鳥取県,31,鳥取県,844.854999,253.4565
31,鳥取県,32,島根県,1021.463106,982.388197
31,鳥取県,33,岡山県,2913.238235,2520.749519
31,鳥取県,34,広島県,4318.147772,3579.944834
31,鳥取県,35,山口県,2038.15302,1830.58063
31,鳥取県,36,徳島県,1089.878859,1041.682702
31,鳥取県,37,香川県,1459.005714,1355.311578
31,鳥取県,38,愛媛県,2030.1977,1824.16637
31,鳥取県,39,高知県,1043.738002,1001.738372
31,鳥取県,40,福岡県,8101.698031,6247.41065
31,鳥取県,41,佐賀県,1253.758454,1182.148789
31,鳥取県,42,長崎県,1992.012163,1793.337779
31,鳥取県,43,熊本県,2700.035656,2355.160023
31,鳥取県,44,大分県,1726.30447,1576.880205
31,鳥取県,45,宮崎県,1643.569141,1508.736599
31,鳥取県,46,鹿児島県,2437.510091,2149.117714
32,島根県,24,三重県,4086.23225,3408.440326
32,島根県,25,滋賀県,3348.274468,2854.278218
32,島根県,26,京都府,6018.296476,4805.534741
32,島根県,27,大阪府,20913.58026,14301.3213
32,島根県,28,兵庫県,12745.89218,9297.00775
32,島根県,29,奈良県,3068.85356,2640.698942
32,島根県,30,和歌山県,2101.627341,1881.657589
32,島根県,31,鳥取県,1268.141043,1194.378406
32,島根県,32,島根県,1533.232674,459.969802
32,島根県,33,岡山県,4372.817797,3620.204671
32,島根県,34,広島県,6481.609776,5131.23517
32,島根県,35,山口県,3059.300709,2633.356846
32,島根県,36,徳島県,1635.925828,1502.422252
32,島根県,37,香川県,2189.991218,1952.47011
32,島根県,38,愛媛県,3047.359644,2624.175364
32,島根県,39,高知県,1566.667654,1445.054437
32,島根県,40,福岡県,12160.78002,8922.824377
32,島根県,41,佐賀県,1881.911755,1704.067749
32,島根県,42,長崎県,2990.042535,2580.043994
32,島根県,43,熊本県,4052.79727,3383.616371
32,島根県,44,大分県,2591.210983,2270.048297
32,島根県,45,宮崎県,2467.023913,2172.406471
32,島根県,46,鹿児島県,3658.742143,3089.075585
33,岡山県,24,三重県,27391.9356,18050.9973
33,岡山県,25,滋賀県,22445.05769,15202.5766
33,岡山県,26,京都府,40343.47032,25148.06653
33,岡山県,27,大阪府,140193.5593,71315.20036
33,岡山県,28,兵庫県,85441.70678,47358.08739
33,岡山県,29,奈良県,20571.968,14098.90428
33,岡山県,30,和歌山県,14088.19598,10146.2509
33,岡山県,31,鳥取県,8500.945531,6517.637703
33,岡山県,32,島根県,10277.97934,7700.487567
33,岡山県,33,岡山県,29313.05323,8793.91597
33,岡山県,34,広島県,43449.27716,26787.44349
33,岡山県,35,山口県,20507.93074,14060.90215
33,岡山県,36,徳島県,10966.37983,8150.808127
33,岡山県,37,香川県,14680.54059,10517.19822
33,岡山県,38,愛媛県,20427.88418,14013.37359
33,岡山県,39,高知県,10502.10973,7847.556226
33,岡山県,40,福岡県,81519.42494,45536.7026
33,岡山県,41,佐賀県,12615.33913,9213.73655
33,岡山県,42,長崎県,20043.66065,13784.83257
33,岡山県,43,熊本県,27167.80521,17923.84451
33,岡山県,44,大分県,17370.10528,12175.02797
33,岡山県,45,宮崎県,16537.62097,11666.2889
33,岡山県,46,鹿児島県,24526.26846,16412.03374
34,広島県,24,三重県,32532.6083,20923.58271
34,広島県,25,滋賀県,26657.34473,17633.6145
34,広島県,26,京都府,47914.77084,29109.03225
34,広島県,27,大阪府,166503.8287,82062.87005
34,広島県,28,兵庫県,101476.6397,54639.22661
34,広島県,29,奈良県,24432.73037,16358.03548
34,広島県,30,和歌山県,16732.1422,11785.50108
34,広島県,31,鳥取県,10096.32671,7580.962081
34,広島県,32,島根県,12206.85829,8952.384169
34,広島県,33,岡山県,34814.26405,22173.81889
34,広島県,34,広島県,51603.44764,15481.03429
34,広島県,35,山口県,24356.67518,16314.10557
34,広島県,36,徳島県,13024.4516,9474.272524
34,広島県,37,香川県,17435.65272,12214.92631
34,広島県,38,愛媛県,24261.60619,16259.16243
34,広島県,39,高知県,12473.05146,9122.838922
34,広島県,40,福岡県,96818.25917,52549.77323
34,広島県,41,佐賀県,14982.87279,10705.67564
34,広島県,42,長崎県,23805.27504,15994.95563
34,広島県,43,熊本県,32266.41512,20776.78145
34,広島県,44,大分県,20629.97078,14133.30949
34,広島県,45,宮崎県,19641.25328,13544.74844
34,広島県,46,鹿児島県,29129.13846,19030.9177
35,山口県,24,三重県,21989.98285,14935.80598
35,山口県,25,滋賀県,18018.67677,12568.82115
35,山口県,26,京都府,32387.35055,20843.50036
35,山口県,27,大阪府,112546.0432,59526.84531
35,山口県,28,兵庫県,68591.7817,39405.54745
35,山口県,29,奈良県,16514.97836,11652.39875
35,山口県,30,和歌山県,11309.86845,8373.998962
35,山口県,31,鳥取県,6824.477437,5370.288275
35,山口県,32,島根県,8251.063116,6348.714429
35,山口県,33,岡山県,23532.23764,15836.48827
35,山口県,34,広島県,34880.66246,22209.99134
35,山口県,35,山口県,16463.56986,4939.070959
35,山口県,36,徳島県,8803.704415,6721.401889
35,山口県,37,香川県,11785.39701,8681.407118
35,山口県,38,愛媛県,16399.30925,11581.3967
35,山口県,39,高知県,8430.992841,6470.417926
35,山口県,40,福岡県,65443.0115,37879.68892
35,山口県,41,佐賀県,10127.47311,7601.477297
35,山口県,42,長崎県,16090.85829,11391.68927
35,山口県,43,熊本県,21810.05313,14830.09074
35,山口県,44,大分県,13944.55371,10055.95519
35,山口県,45,宮崎県,13276.2433,9634.031079
35,山口県,46,鹿児島県,19689.45279,13573.54492
36,徳島県,24,三重県,6833.158086,5376.319645
36,徳島県,25,滋賀県,5599.116094,4508.034265
36,徳島県,26,京都府,10064.03178,7559.681018
36,徳島県,27,大阪府,34972.51044,22260.00902
36,徳島県,28,兵庫県,21314.18159,14538.03761
36,徳島県,29,奈良県,5131.857476,4172.993603
36,徳島県,30,和歌山県,3514.423797,2980.246739
36,徳島県,31,鳥取県,2120.635268,1896.918439
36,徳島県,32,島根県,2563.931906,2248.648073
36,徳島県,33,岡山県,7312.397695,5707.758255
36,徳島県,34,広島県,10838.80248,8067.660763
36,徳島県,35,山口県,5115.882822,4161.47193
36,徳島県,36,徳島県,2735.659433,820.69783
36,徳島県,37,香川県,3662.189343,3091.668587
36,徳島県,38,愛媛県,5095.914505,4147.06338
36,徳島県,39,高知県,2619.843194,2292.481614
36,徳島県,40,福岡県,20335.73406,13958.62265
36,徳島県,41,佐賀県,3147.006763,2700.6636
36,徳島県,42,長崎県,5000.066583,4077.801579
36,徳島県,43,熊本県,6777.246799,5337.45429
36,徳島県,44,大分県,4333.124795,3590.980443
36,徳島県,45,宮崎県,4125.454298,3437.528832
36,徳島県,46,鹿児島県,6118.292337,4876.099429
37,香川県,24,三重県,8895.541266,6783.019355
37,香川県,25,滋賀県,7289.040827,5691.673424
37,香川県,26,京都府,13101.55698,9523.242084
37,香川県,27,大阪府,45527.9105,27873.12133
37,香川県,28,兵庫県,27747.22603,18252.21396
37,香川県,29,奈良県,6680.754253,5270.279803
37,香川県,30,和歌山県,4575.146881,3768.661591
37,香川県,31,鳥取県,2760.68522,2402.41773
37,香川県,32,島根県,3337.777611,2846.294771
37,香川県,33,岡山県,9519.424931,7199.345062
37,香川県,34,広島県,14110.1689,10160.05149
37,香川県,35,山口県,6659.95813,5255.785582
37,香川県,36,徳島県,3561.335925,3015.681429
37,香川県,37,香川県,4767.511011,1430.253303
37,香川県,38,愛媛県,6633.962978,5237.659398
37,香川県,39,高知県,3410.564039,2901.590918
37,香川県,40,福岡県,26473.46354,17528.84653
37,香川県,41,佐賀県,4096.836071,3416.307912
37,香川県,42,長崎県,6509.186245,5150.522542
37,香川県,43,熊本県,8822.754838,6734.190892
37,香川県,44,大分県,5640.948143,4537.849609
37,香川県,45,宮崎県,5370.598555,4344.647239
37,香川県,46,鹿児島県,7964.914798,6154.418001
38,愛媛県,24,三重県,16018.91635,11347.36473
38,愛媛県,25,滋賀県,13125.96185,9538.732881
38,愛媛県,26,京都府,23593.027,15871.79474
38,愛媛県,27,大阪府,81985.76882,45754.15208
38,愛媛県,28,兵庫県,49966.66075,30162.72393
38,愛媛県,29,奈良県,12030.57131,8839.206751
38,愛媛県,30,和歌山県,8238.834825,6340.43026
38,愛媛県,31,鳥取県,4971.387832,4057.04496
38,愛媛県,32,島根県,6010.604497,4800.100393
38,愛媛県,33,岡山県,17142.39382,12036.24385
38,愛媛県,34,広島県,25409.31559,16920.20349
38,愛媛県,35,山口県,11993.12206,8815.133578
38,愛媛県,36,徳島県,6413.183926,5083.330417
38,愛媛県,37,香川県,8585.24038,6574.468432
38,愛媛県,38,愛媛県,11946.3105,3583.893149
38,愛媛県,39,高知県,6141.67687,4892.579539
38,愛媛県,40,福岡県,47672.89424,28984.2968
38,愛媛県,41,佐賀県,7377.502093,5752.556563
38,愛媛県,42,長崎県,11721.615,8640.279035
38,愛媛県,43,熊本県,15887.84398,11266.53246
38,愛媛県,44,大分県,10158.10885,7621.647556
38,愛媛県,45,宮崎県,9671.268607,7300.093068
38,愛媛県,46,鹿児島県,14343.06245,10306.13286
39,高知県,24,三重県,2172.186926,1938.22905
39,高知県,25,滋賀県,1779.898346,1620.825975
39,高知県,26,京都府,3199.246671,2740.645844
39,高知県,27,大阪府,11117.38218,8249.046097
39,高知県,28,兵庫県,6775.547414,5336.272342
39,高知県,29,奈良県,1631.361894,1498.650296
39,高知県,30,和歌山県,1117.19725,1065.247091
39,高知県,31,鳥取県,674.126977,674.126977
39,高知県,32,島根県,815.046176,800.804315
39,高知県,33,岡山県,2324.532006,2059.661467
39,高知県,34,広島県,3445.537883,2928.10964
39,高知県,35,山口県,1626.283724,1494.451959
39,高知県,36,徳島県,869.636496,849.251002
39,高知県,37,香川県,1164.170316,1105.622323
39,高知県,38,愛媛県,1619.936013,1489.201984
39,高知県,39,高知県,832.819768,249.845931
39,高知県,40,福岡県,6464.509543,5119.269603
39,高知県,41,佐賀県,1000.399356,964.049024
39,高知県,42,長崎県,1589.466997,1463.970073
39,高知県,43,熊本県,2154.413334,1923.999146
39,高知県,44,大分県,1377.453428,1286.848495
39,高知県,45,宮崎県,1311.437227,1231.103499
39,高知県,46,鹿児島県,1944.938849,1755.240883
40,福岡県,24,三重県,33137.85617,21256.62357
40,福岡県,25,滋賀県,27153.28717,17915.60234
40,福岡県,26,京都府,48806.19378,29567.77181
40,福岡県,27,大阪府,169601.5234,83301.81417
40,福岡県,28,兵庫県,103364.5461,55480.36348
40,福岡県,29,奈良県,24887.28532,16620.13698
40,福岡県,30,和歌山県,17043.43275,11975.84311
40,福岡県,31,鳥取県,10284.16226,7704.55063
40,福岡県,32,島根県,12433.95889,9097.839328
40,福岡県,33,岡山県,35461.96064,22526.176
40,福岡県,34,広島県,52563.496,31485.17383
40,福岡県,35,山口県,24809.81517,16575.52124
40,福岡県,36,徳島県,13266.76299,9628.023963
40,福岡県,37,香川県,17760.03162,12412.04159
40,福岡県,38,愛媛県,24712.97748,16519.72023
40,福岡県,39,高知県,12705.10441,9271.005197
40,福岡県,40,福岡県,98619.49949,29585.84985
40,福岡県,41,佐賀県,15261.61932,10878.95163
40,福岡県,42,長崎県,24248.15659,16251.38675
40,福岡県,43,熊本県,32866.71065,21107.55125
40,福岡県,44,大分県,21013.77788,14360.59404
40,福岡県,45,宮崎県,20006.66594,13762.79208
40,福岡県,46,鹿児島県,29671.06701,19334.62925
41,佐賀県,24,三重県,6871.023666,5402.617031
41,佐賀県,25,滋賀県,5630.143296,4530.151314
41,佐賀県,26,京都府,10119.80107,7596.424773
41,佐賀県,27,大阪府,35166.30873,22365.47302
41,佐賀県,28,兵庫県,21432.29299,14607.69703
41,佐賀県,29,奈良県,5160.295389,4193.493047
41,佐賀県,30,和歌山県,3533.898788,2994.963967
41,佐賀県,31,鳥取県,2132.386655,1906.345393
41,佐賀県,32,島根県,2578.139797,2259.797369
41,佐賀県,33,岡山県,7352.918955,5735.647156
41,佐賀県,34,広島県,10898.86513,8106.82316
41,佐賀県,35,山口県,5144.232213,4181.915699
41,佐賀県,36,徳島県,2750.818943,2394.738422
41,佐賀県,37,香川県,3682.483169,3106.927671
41,佐賀県,38,愛媛県,5124.153242,4167.437519
41,佐賀県,39,高知県,2634.360915,2303.845212
41,佐賀県,40,福岡県,20448.42344,14025.57176
41,佐賀県,41,佐賀県,3164.445733,949.33372
41,佐賀県,42,長崎県,5027.774184,4097.840934
41,佐賀県,43,熊本県,6814.802549,5363.564905
41,佐賀県,44,大分県,4357.136574,3608.66325
41,佐賀県,45,宮崎県,4148.315282,3454.467519
41,佐賀県,46,鹿児島県,6152.196526,4899.990529
42,長崎県,24,三重県,5667.769842,4556.951449
42,長崎県,25,滋賀県,4644.192472,3819.132721
42,長崎県,26,京都府,8347.621276,6414.070258
42,長崎県,27,大阪府,29007.98393,18962.89306
42,長崎県,28,兵庫県,17679.06935,12362.89472
42,長崎県,29,奈良県,4256.624341,3534.561807
42,長崎県,30,和歌山県,2915.04235,2522.144451
42,長崎県,31,鳥取県,1758.963055,1603.677439
42,長崎県,32,島根県,2126.655896,1901.74893
42,長崎県,33,岡山県,6065.275617,4838.705692
42,長崎県,34,広島県,8990.255612,6846.476051
42,長崎県,35,山口県,4243.374148,3524.777072
42,長崎県,36,徳島県,2269.095466,2015.583331
42,長崎県,37,香川県,3037.606631,2616.673079
42,長崎県,38,愛媛県,4226.811408,3512.540796
42,長崎県,39,高知県,2173.03157,1938.904955
42,長崎県,40,福岡県,16867.49505,11868.329
42,長崎県,41,佐賀県,2610.287923,2284.998284
42,長崎県,42,長崎県,4147.310253,1244.193076
42,長崎県,43,熊本県,5621.394169,4523.916291
42,長崎県,44,大分県,3594.114716,3040.406816
42,長崎県,45,宮崎県,3421.862213,2910.161289
42,長崎県,46,鹿児島県,5074.823728,4131.837075
43,熊本県,24,三重県,10903.07432,8109.566519
43,熊本県,25,滋賀県,8934.021155,6808.811242
43,熊本県,26,京都府,16058.29765,11371.63183
43,熊本県,27,大阪府,55802.58435,33118.20086
43,熊本県,28,兵庫県,34009.18039,21734.29203
43,熊本県,29,奈良県,8188.457335,6306.283914
43,熊本県,30,和歌山県,5607.659498,4514.125815
43,熊本県,31,鳥取県,3383.71272,2881.20867
43,熊本県,32,島根県,4091.042497,3412.00964
43,熊本県,33,岡山県,11667.75516,8605.524116
43,熊本県,34,広島県,17294.53168,12128.9985
43,熊本県,35,山口県,8162.967974,6288.996122
43,熊本県,36,徳島県,4365.053132,3614.490506
43,熊本県,37,香川県,5843.43609,4681.770831
43,熊本県,38,愛媛県,8131.106272,6267.376076
43,熊本県,39,高知県,4180.255262,3478.11382
43,熊本県,40,福岡県,32447.957,20876.92071
43,熊本県,41,佐賀県,5021.404187,4093.235119
43,熊本県,42,長崎県,7978.170104,6163.439078
43,熊本県,43,熊本県,10813.86156,3244.158466
43,熊本県,44,大分県,6913.989267,5432.433089
43,熊本県,45,宮崎県,6582.62757,5201.836108
43,熊本県,46,鹿児島県,9762.425399,7360.469795
44,大分県,24,三重県,16317.77666,11531.30383
44,大分県,25,滋賀県,13370.84914,9693.94319
44,大分県,26,京都府,24033.19532,16127.01671
44,大分県,27,大阪府,83515.35374,46465.66909
44,大分県,28,兵庫県,50898.87438,30638.85453
44,大分県,29,奈良県,12255.02222,8983.264831
44,大分県,30,和歌山県,8392.544398,6444.441561
44,大分県,31,鳥取県,5064.137586,4124.119228
44,大分県,32,島根県,6122.742618,4879.23637
44,大分県,33,岡山県,17462.21454,12231.08787
44,大分県,34,広島県,25883.36988,17191.83717
44,大分県,35,山口県,12216.87429,8958.807442
44,大分県,36,徳島県,6532.832855,5167.052749
44,大分県,37,香川県,8745.412742,6682.245695
44,大分県,38,愛媛県,12169.18938,8928.220282
44,大分県,39,高知県,6256.260369,4973.213687
44,大分県,40,福岡県,48562.31372,29442.41758
44,大分県,41,佐賀県,7515.142029,5847.093013
44,大分県,42,長崎県,11940.3018,8781.161289
44,大分県,43,熊本県,16184.25891,11449.19069
44,大分県,44,大分県,10347.62576,3104.287729
44,大分県,45,宮崎県,9851.702685,7419.525701
44,大分県,46,鹿児島県,14610.65684,10473.55075
45,宮崎県,24,三重県,6179.0209,4918.880539
45,宮崎県,25,滋賀県,5063.11356,4123.379538
45,宮崎県,26,京都府,9100.603546,6920.291154
45,宮崎県,27,大阪府,31624.59732,20421.99469
45,宮崎県,28,兵庫県,19273.77822,13324.84301
45,宮崎県,29,奈良県,4640.585538,3816.498467
45,宮崎県,30,和歌山県,3177.98854,2724.385306
45,宮崎県,31,鳥取県,1917.627176,1733.08936
45,宮崎県,32,島根県,2318.487094,2054.861063
45,宮崎県,33,岡山県,6612.382973,5222.604736
45,宮崎県,34,広島県,9801.205565,7386.131624
45,宮崎県,35,山口県,4626.140136,3805.945957
45,宮崎県,36,徳島県,2473.77517,2177.729169
45,宮崎県,37,香川県,3311.608513,2826.378456
45,宮崎県,38,愛媛県,4608.083383,3792.749479
45,宮崎県,39,高知県,2369.046002,2094.966743
45,宮崎県,40,福岡県,18388.99732,12792.69979
45,宮崎県,41,佐賀県,2845.744283,2468.4891
45,宮崎県,42,長崎県,4521.410968,3729.315268
45,宮崎県,43,熊本県,6128.461991,4883.267441
45,宮崎県,44,大分県,3918.315416,3283.51108
45,宮崎県,45,宮崎県,3730.525184,1119.157555
45,宮崎県,46,鹿児島県,5532.58914,4460.558547
46,鹿児島県,24,三重県,8346.59246,6413.374444
46,鹿児島県,25,滋賀県,6839.230058,5380.537885
46,鹿児島県,26,京都府,12293.0526,9007.635979
46,鹿児島県,27,大阪府,42718.35779,26403.52817
46,鹿児島県,28,兵庫県,26034.92926,17278.51156
46,鹿児島県,29,奈良県,6268.481187,4981.802198
46,鹿児島県,30,和歌山県,4292.812019,3561.265643
46,鹿児島県,31,鳥取県,2590.321798,2269.351157
46,鹿児島県,32,島根県,3131.801496,2689.011183
46,鹿児島県,33,岡山県,8931.975917,6807.440767
46,鹿児島県,34,広島県,13239.42252,9610.696417
46,鹿児島県,35,山口県,6248.968405,4968.088014
46,鹿児島県,36,徳島県,3341.563901,2849.174807
46,鹿児島県,37,香川県,4473.305252,3694.041618
46,鹿児島県,38,愛媛県,6224.577428,4950.937395
46,鹿児島県,39,高知県,3200.096233,2741.29541
46,鹿児島県,40,福岡県,24839.77137,16592.77591
46,鹿児島県,41,佐賀県,3844.018035,3228.02447
46,鹿児島県,42,長崎県,6107.500736,4868.49134
46,鹿児島県,43,熊本県,8278.297724,6367.158777
46,鹿児島県,44,大分県,5292.842092,4288.850167
46,鹿児島県,45,宮崎県,5039.175927,4106.083089
46,鹿児島県,46,鹿児島県,7473.39547,2242.018641
